ip,alive,is_camera,is_dvr,onvif,open_ports,exposed_via_upnp,latitude,longitude
192.168.1.41,False,False,False,False,,,,
192.168.1.5,True,False,False,False,,,,
192.168.1.89,False,False,False,False,,,,
192.168.1.45,False,False,False,False,,,,
192.168.1.79,False,False,False,False,,,,
192.168.1.221,False,False,False,False,,,,
192.168.1.16,False,False,False,False,,,,
192.168.1.102,False,False,False,False,,,,
192.168.1.195,False,False,False,False,,,,
192.168.1.106,False,False,False,False,,,,
192.168.1.107,False,False,False,False,,,,
192.168.1.189,False,False,False,False,,,,
192.168.1.36,False,False,False,False,,,,
192.168.1.20,False,False,False,False,,,,
192.168.1.62,False,False,False,False,,,,
192.168.1.218,False,False,False,False,,,,
192.168.1.175,False,False,False,False,,,,
192.168.1.251,False,False,False,False,,,,
192.168.1.32,False,False,False,False,,,,
192.168.1.97,False,False,False,False,,,,
192.168.1.154,False,False,False,False,,,,
192.168.1.215,False,False,False,False,,,,
192.168.1.227,False,False,False,False,,,,
192.168.1.2,False,False,False,False,,,,
192.168.1.164,False,False,False,False,,,,
192.168.1.210,False,False,False,False,,,,
192.168.1.202,False,False,False,False,,,,
192.168.1.249,False,False,False,False,,,,
192.168.1.34,False,False,False,False,,,,
192.168.1.132,False,False,False,False,,,,
192.168.1.228,False,False,False,False,,,,
192.168.1.122,False,False,False,False,,,,
192.168.1.199,False,False,False,False,,,,
192.168.1.110,False,False,False,False,,,,
192.168.1.209,False,False,False,False,,,,
192.168.1.52,False,False,False,False,,,,
192.168.1.14,False,False,False,False,,,,
192.168.1.136,False,False,False,False,,,,
192.168.1.91,False,False,False,False,,,,
192.168.1.238,False,False,False,False,,,,
192.168.1.49,False,False,False,False,,,,
192.168.1.219,False,False,False,False,,,,
192.168.1.4,True,False,False,False,,,,
192.168.1.80,False,False,False,False,,,,
192.168.1.253,False,False,False,False,,,,
192.168.1.230,False,False,False,False,,,,
192.168.1.187,False,False,False,False,,,,
192.168.1.121,False,False,False,False,,,,
192.168.1.68,False,False,False,False,,,,
192.168.1.124,False,False,False,False,,,,
192.168.1.217,False,False,False,False,,,,
192.168.1.83,False,False,False,False,,,,
192.168.1.171,False,False,False,False,,,,
192.168.1.56,False,False,False,False,,,,
192.168.1.27,False,False,False,False,,,,
192.168.1.116,False,False,False,False,,,,
192.168.1.61,False,False,False,False,,,,
192.168.1.188,False,False,False,False,,,,
192.168.1.242,False,False,False,False,,,,
192.168.1.30,False,False,False,False,,,,
192.168.1.144,False,False,False,False,,,,
192.168.1.204,False,False,False,False,,,,
192.168.1.120,False,False,False,False,,,,
192.168.1.67,False,False,False,False,,,,
192.168.1.54,False,False,False,False,,,,
192.168.1.12,False,False,False,False,,,,
192.168.1.65,False,False,False,False,,,,
192.168.1.96,False,False,False,False,,,,
192.168.1.234,False,False,False,False,,,,
192.168.1.236,False,False,False,False,,,,
192.168.1.137,False,False,False,False,,,,
192.168.1.109,False,False,False,False,,,,
192.168.1.166,False,False,False,False,,,,
192.168.1.84,False,False,False,False,,,,
192.168.1.184,False,False,False,False,,,,
192.168.1.203,False,False,False,False,,,,
192.168.1.168,False,False,False,False,,,,
192.168.1.140,False,False,False,False,,,,
192.168.1.225,False,False,False,False,,,,
192.168.1.224,False,False,False,False,,,,
192.168.1.82,False,False,False,False,,,,
192.168.1.44,False,False,False,False,,,,
192.168.1.1,True,False,False,False,80,,,
192.168.1.235,False,False,False,False,,,,
192.168.1.129,False,False,False,False,,,,
192.168.1.143,False,False,False,False,,,,
192.168.1.26,False,False,False,False,,,,
192.168.1.182,False,False,False,False,,,,
192.168.1.185,False,False,False,False,,,,
192.168.1.103,False,False,False,False,,,,
192.168.1.231,False,False,False,False,,,,
192.168.1.39,False,False,False,False,,,,
192.168.1.76,False,False,False,False,,,,
192.168.1.127,False,False,False,False,,,,
192.168.1.145,False,False,False,False,,,,
192.168.1.114,False,False,False,False,,,,
192.168.1.135,False,False,False,False,,,,
